dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/15T/long,t0-beta,8.861032366071429,8.861032366071429,1.6168636842757937,1.0699131800314734,0.7564323936609078,0.4217698257688492,7.178963189796772,2.976748623258509,0.5673712308313318,0.3081758168850164,0.23808015012815126,Energy,7
bitbrains_rnd/H/short,t0-beta,2140133.375388943,2140133.375388943,163.01946847960446,5.836517559517431,1.7351476252123024,0.5327191103054004,198.7439369429793,1462.9194698919498,6.402451640548841,0.7134529855465881,0.6537963618049725,Web/CloudOps,2
sz_taxi/15T/short,t0-beta,16.543942331539988,16.543942331539988,2.7172293191427714,0.5419911954201502,993573034261.6882,0.39217816400586175,3.8251779100174352,4.067424532986443,0.38032158948844835,0.25407256244831167,0.19945321706578945,Transport,1
sz_taxi/15T/medium,t0-beta,16.46356670673077,16.46356670673077,2.7631681523771365,0.5395710608105092,10020488165939.637,0.4044859535673745,4.2185650025111165,4.0575320955884955,0.37762108780571896,0.2571589180096026,0.20701248844477182,Transport,1
sz_taxi/15T/long,t0-beta,16.819710425569802,16.819710425569802,2.7908122440349,0.5278811757755868,6227357513451.433,0.4021858237068198,4.289269641488455,4.101184027274295,0.3795982880548632,0.25831260998601985,0.2099680410457156,Transport,1
us_births/D/short,t0-beta,179502.26666666666,179502.26666666666,236.55059895833332,0.3482807777557235,0.02309116840362549,0.022521352767944335,3.0159641176326635,423.67707828801247,0.03971628814830833,0.02217469915494815,0.017885763032761823,Healthcare,1
m_dense/D/short,t0-beta,7537.706666666667,7537.706666666667,41.54405960648148,0.6321628560013135,0.11422105114755143,0.09141231960720486,6.861655106948568,86.81996698148801,0.1502982052003476,0.07191891235021763,0.060411622668243924,Transport,1
covid_deaths/D/short,t0-beta,670636.9122807018,670636.9122807018,135.66226503759398,34.76047001435856,0.09182997642615029,0.3682400581531955,570.3898205601112,818.9242408676774,0.30812423097013525,0.05104358742890056,0.04135474536924447,Healthcare,1
jena_weather/D/short,t0-beta,383.5908482142857,383.5908482142857,9.57598663814484,0.9873531287656789,0.6022965742650169,0.44885050455729164,6.24490082802044,19.585475440087883,0.11793657312463961,0.05766309078607046,0.0447940105491392,Nature,21
electricity/15T/short,t0-beta,143792.45876126125,143792.45876126125,52.36124806447072,1.014756520685577,0.1636876900675136,0.16769318864152238,12.476296729818044,379.1997610247945,0.747477474625052,0.10321434107888934,0.08688864561724334,Energy,1
electricity/15T/medium,t0-beta,285570.37874774775,285570.37874774775,55.30512260698198,0.8437517223148197,0.12376306832942903,0.13155685699737824,7.232664634630311,534.3878542292553,0.9208040847770407,0.09529629538278558,0.0767751436868359,Energy,1
electricity/15T/long,t0-beta,329594.3818858859,329594.3818858859,59.553944725975974,0.8901967029794591,0.12600020205109264,0.13336728464304148,7.290628602372629,574.1031108484659,0.9057180162588319,0.09395364640662306,0.07513848855024277,Energy,1
us_births/W/short,t0-beta,2472676.0,2472676.0,1232.4584263392858,1.1201058089086549,0.016666186707360402,0.016705341637134552,6.957879834771053,1572.4744830998054,0.021346186919997553,0.016730502289552657,0.012796404960182308,Healthcare,1
m4_hourly/H/short,t0-beta,2096653.191626409,2096653.191626409,251.65245068438003,0.7148467333081261,0.08345660149763172,0.07556519684968172,5.292914520672142,1447.9824555658156,0.1976815660920439,0.034356114171804564,0.025547695635252714,Econ/Fin,1
saugeen/W/short,t0-beta,908.0732421875,908.0732421875,13.890234375,1.126826437010076,0.34745011329650877,0.3718291759490967,9.15875655696345,30.13425363581285,0.9096275033921435,0.4192882746910669,0.3357738318070111,Nature,1
sz_taxi/H/short,t0-beta,7.079940926315438,7.079940926315438,1.8340716239733574,0.5582062535651829,1.1422689062917335,0.2938930478870359,3.9327696933766765,2.660815838481769,0.24787141495052722,0.17085508962329574,0.13472172861989673,Transport,1
ett2/H/short,t0-beta,98.05607328869047,98.05607328869047,6.069739350818453,0.7038750566215464,0.11641623178170182,0.10575265430268788,4.907037714355894,9.902326660370807,0.12558905432034634,0.07698118343146408,0.06070451760407322,Energy,7
ett2/H/medium,t0-beta,227.46305803571428,227.46305803571428,9.215070452008929,1.0204555610868224,0.16929433108146172,0.16379232860746837,7.576922759653382,15.081878465088966,0.20323801111018214,0.12417900033087516,0.09916143495452863,Energy,7
ett2/H/long,t0-beta,234.22268518518518,234.22268518518518,9.18913277116402,1.045707840865207,0.17576840908094132,0.17110589244378308,8.51277382335224,15.30433550289542,0.2095810956256274,0.1258381008221859,0.10332453043032602,Energy,7
solar/D/short,t0-beta,122177.61946472019,122177.61946472019,249.33678527980535,0.9728604125742312,1.057269925676703,0.4255382974072384,5.041053851572632,349.53915297820384,0.5049650214885766,0.36020672952926863,0.2727430615140285,Energy,1
